Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_Purk_5,-1.1253909450384193e-07,6.458308302865057e-08,0.9592936625635016,20001_1061
VSMC,-1.1273669137138341e-07,6.320725321578655e-08,0.9627559588766196,20001_1061
Neur_Purk_NBL_1,-1.3003617397132334e-07,7.17857212798605e-08,0.964964312595831,20001_1061
Schwl_2,-2.0248101226273865e-07,8.638435740631854e-08,0.9904597531997842,20001_1061
Schwl_3,-3.278690124922612e-07,1.3240843184527668e-07,0.9933604366910682,20001_1061
Gbl_HB_4,-7.299637603235117e-07,2.023970506488419e-07,0.999844878074736,20001_1061
Neur_Tel_Glut_SATB2_2,2.457010293827908e-07,8.125414588449964e-08,0.0012478662151,20002_1286
Neur_Gly_2,3.796486371843018e-07,1.5357507737023258e-07,0.0067166243260325,20002_1286
OPC_5,3.0390629357453374e-07,1.2455849843156498e-07,0.007346314873595,20002_1286
Neur_DRG_2,5.184691422195479e-07,2.14332834026487e-07,0.0077818180580628,20002_1286
Neur_Int_LGE_CGE,2.4262068638647984e-07,1.0598859485421264e-07,0.0110361702258646,20002_1286
Neur_CB_NBL_1,1.701511918082705e-07,7.713916946554878e-08,0.0137000875272646,20002_1286
OPC_6,2.291524489405824e-07,1.0423970072474721e-07,0.0139630764956586,20002_1286
OPC_3,3.54211154698844e-07,1.6345951679181918e-07,0.0151187374882544,20002_1286
OPC_4,1.928914288678106e-07,9.434737842095401e-08,0.0204530229789042,20002_1286
Neur_Tel_Glut_SATB2_1,2.0273563361229933e-07,9.972650466179084e-08,0.021030491624439,20002_1286
Neur_Gly_8,4.964193965971931e-07,2.5210926075226845e-07,0.02447284213802,20002_1286
Neur_CB_GNP_IPC_1,9.3307433964271e-08,4.8229410147566156e-08,0.0265161135852063,20002_1286
