Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Rgl_MB_2,2.6504768312026487e-08,4.379992895289773e-08,0.2725454214668044,699
Mic_active_2,1.4876278810072072e-08,2.4762562971403563e-08,0.2740009809631999,699
End_4,1.434568505333825e-08,2.3890882359295177e-08,0.2740975432473056,699
Neur_Gly_3,3.331907487772595e-08,5.7779280823017426e-08,0.282084141996657,699
OPC_5,2.9529151658846894e-08,5.2501850969537616e-08,0.2869080674577122,699
Schwl_2,2.3985483615372852e-08,4.612215417081231e-08,0.3015169521850733,699
Per_5,1.4216480589068921e-08,2.8014972777732746e-08,0.3059160165050698,699
Gbl_HB_5,1.4701894530074741e-08,3.134477040201444e-08,0.3195211675253572,699
Neur_DRG_2,4.54462168303259e-08,1.0194505837990475e-07,0.3278740150005609,699
Mic_active_1,9.987865951075437e-09,2.2544631009740005e-08,0.3288733319660287,699
Neur_MB_Glut,2.09960200090745e-08,4.85300725119215e-08,0.3326383914034774,699
OPC_4,1.7485688580395798e-08,4.176909577783031e-08,0.3377442254004459,699
End_5,8.585294224362979e-09,2.2451443102741555e-08,0.3510846181303712,699
End_3,8.608435974363408e-09,2.4748904959600904e-08,0.3639835593778204,699
Neur_CB_GNP_IPC_3,8.37777174954683e-09,2.5112973562325883e-08,0.3693394504064031,699
Neur_MB_Glut_NBL_2,1.6345231953631653e-08,4.9402384418338467e-08,0.3703754317289416,699
Neur_GABA_3,2.4783523062196186e-08,8.047652613847427e-08,0.3790565167508304,699
Gbl_General_1,1.0249507534031958e-08,3.3970531480186425e-08,0.3814336717412147,699
COP,1.1611863852948256e-08,4.073187918937925e-08,0.3877912405437452,699
Neur_HB_GABA_1,1.6402962024979487e-08,5.7726031343068735e-08,0.3881469838922943,699
Gbl_HB_1,8.128895226822899e-09,2.878942597713885e-08,0.3888349011774329,699
Floor_plate,8.603568281431193e-09,3.183937666652422e-08,0.3934963259970577,699
Gbl_HB_4,3.033906962574994e-08,1.159747803622002e-07,0.3968146990116064,699
VLMC_SLC6A13_3,6.715693822204697e-08,2.776302656029848e-07,0.404431369143558,699
Neur_late,2.0149456759734857e-08,1.0197714177541788e-07,0.4216837226302614,699
Neur_MB_GABA_1,5.9395131955937165e-09,3.132869718428675e-08,0.4248163939480252,699
Neur_Gly_6,1.2432953760816309e-08,7.32085733736354e-08,0.4325722294335153,699
