Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
ZNF646,0.0036737328104056,0.004931001454468055,0.0075461990309994426,0.0029844317272783214,0.0032448285544912797
ZNF783,0.004468053418060865,0.004186030011706694,0.005359516357243922,0.0021537136176235307,0.004992043929986584
MTA3,0.06870873256218041,0.056440455496825005,0.06135574325772842,0.033597932434927084,0.03511590901999938
NR2E3,9.92900759569081e-05,0.00039022313668452235,0.00030013291600565966,0.00030767337394621867,0.00026520233378053725
ZHX1,0.000943255721590627,0.0007804462733690447,0.0021009304120396177,0.0008922527844440342,0.0015444135908395994
LRRFIP2,0.08375117906965199,0.13562027741317534,0.10796209750032157,0.11414682173404714,0.12856073133443574
POU1F1,0.00014893511393536217,7.09496612153677e-05,4.287613085795138e-05,3.076733739462187e-05,9.360082368724845e-05
NR3C1,0.02765228615399891,0.010358650537443684,0.008317969386442567,0.0017229708940988246,0.004477239399706717
HOXA11,0.0,0.0,0.0,0.0,0.0
SOHLH1,4.964503797845405e-05,0.0,4.287613085795138e-05,0.0,0.0
PRDM5,0.015489251849277665,0.009542729433466955,0.01247695407966385,0.003261337763829918,0.006021652990546317
PAX9,0.00029787022787072434,0.0001418993224307354,0.00017150452343180553,3.076733739462187e-05,0.00010920096096845653
NKX2-6,0.0,0.0,0.0,0.0,1.5600137281208075e-05
ZNF391,0.0021347366330735245,0.002093015005853347,0.0019294258886078121,0.0015999015445203372,0.0019656172974322175
BOLA3,0.004567343494017773,0.009578204264074639,0.011876688247652532,0.004553565934404037,0.005257246263767121
SNAI2,0.0021347366330735245,0.001880166022207244,0.0035587188612099642,0.0007691834348655468,0.000624005491248323
FOXS1,0.0011914809114828974,0.0013835183936996701,0.0013720361874544442,0.00018460402436773122,0.0004368038438738261
RELA,0.004567343494017773,0.007627088580652027,0.008275093255584617,0.003507476462986893,0.004524039811550341
MEF2D,0.008985751874100183,0.013941608428819752,0.013634609612828539,0.0060919328041351304,0.008065270974384574
TBX1,0.00029787022787072434,0.00035474830607683846,0.00047163743943746516,0.0003384407113408406,0.0005928052166859068
TBX2,0.0002482251898922703,0.00092234559579978,0.0007717703554431248,0.00012306934957848748,0.0001872016473744969
RFXANK,0.00392195800029787,0.005888821880875519,0.005659649273249582,0.0018460402436773122,0.0026364232005241647
RFX6,0.0,0.0,4.287613085795138e-05,0.0,0.0001248010982496646
ZBTB46,0.029191282331330982,0.051296605058710844,0.03567294087381555,0.024429265891329766,0.02188699260553493
KDM5A,0.07675122871468996,0.10284153393167547,0.13724649487630236,0.1766968186573134,0.0965960500452404
BATF2,0.0,3.547483060768385e-05,0.0,0.0,0.0
MEIS3P2,9.92900759569081e-05,3.547483060768385e-05,0.0,0.0,0.0
ZNF362,0.01777292359628655,0.02220724396041009,0.040046306221326586,0.025413820687957663,0.023181803999875197
MESP2,0.0002482251898922703,0.0005321224591152577,0.00030013291600565966,6.153467478924374e-05,0.000421203706592618
YY1,0.04924787767462642,0.06452871687537692,0.08043562148951679,0.046950956864192976,0.07020061776543633
HEYL,0.0003475152658491784,0.0007449714427613609,0.0009861510097328816,0.00012306934957848748,0.00023400205921812113
ZNF385A,0.0013404160254182594,0.003299159246514598,0.0017579213651760066,0.0031075010768568086,0.0026208230632429564
RFX8,0.0006950305316983568,0.0007804462733690447,0.0021438065428975688,0.0002769060365515968,0.0010920096096845653
ZNF703,0.0012411259494613514,0.005853347050267835,0.021266560905543883,0.0015999015445203372,0.0017316152382140964
ZNF768,0.004070893114233232,0.00525027492993721,0.006602924152124512,0.003322872438619162,0.004648840909800007
GABPB2,0.010326167899518443,0.009968427400759162,0.019551515671225827,0.009230201218386561,0.01029609060559733
ZNF672,0.004914858759866952,0.005711447727837099,0.008060712601294859,0.003261337763829918,0.003556831300115441
FOXL1,0.00014893511393536217,0.00024832381425378696,0.00021438065428975689,0.00012306934957848748,6.24005491248323e-05
ZNF641,0.0049645037978454055,0.010003902231366844,0.009775757835612913,0.00938403790535967,0.01321331627718324
SSRP1,0.01871617931787718,0.019653056156656853,0.03687347253783819,0.0125223063196111,0.0175813547159215
HIC1,0.0011914809114828974,0.001880166022207244,0.0032585859452043046,0.0006461140852870592,0.0012792112570590621
NR6A1,0.04085786625626769,0.09248288339423179,0.06251339879089311,0.19777244477262937,0.058843717824716854
CDX1,0.0,0.0,0.0,0.0,4.6800411843624226e-05
HES4,0.01519138162140694,0.055837383376494375,0.03957466878188912,0.05316595901790659,0.08229072415837259
HMBOX1,0.21809065183934867,0.15765014722054702,0.3362346181880547,0.23850839948310873,0.15816979189416866
NR1H3,0.003822667924340962,0.003121785093476179,0.004887878917806457,0.004122823210879331,0.0028080247106174534
UTF1,0.0,3.547483060768385e-05,0.0,3.076733739462187e-05,0.0
AIRE,0.0,0.0001418993224307354,4.287613085795138e-05,0.0,3.120027456241615e-05
ZBTB7A,0.013801320558010227,0.016921494199865196,0.026283068215924195,0.010245523352409082,0.008689276465632898
ZNF428,0.048304621953035795,0.15470573628010925,0.140204947905501,0.06224232354932004,0.11119777854045115
TAX1BP3,0.0015886412153105296,0.0038667565362375395,0.004716374394374652,0.0015383668697310936,0.003166827868085239
ZNF526,0.0021347366330735245,0.002128489836461031,0.0036015949920679157,0.0019075749184665558,0.0022932201803375868
MLX,0.003822667924340962,0.006243570186952358,0.0073318183767096855,0.0036305458125653806,0.0065988580699510154
PCBP2,0.07789306458819441,0.07878959877966582,0.10706169875230459,0.05510430127376777,0.057174503135627594
TSC22D3,0.013751675520031773,0.009968427400759162,0.006002658320113193,0.005753492092794289,0.006271255187045646
NANOGP1,4.964503797845405e-05,7.09496612153677e-05,4.287613085795138e-05,0.0,0.00010920096096845653
TLX2,0.0,0.0001418993224307354,0.0,0.0,3.120027456241615e-05
ID3,0.012063744228764335,0.03731952179928341,0.0171075762123226,0.009968617315857485,0.00542884777386041
HEY1,0.005858114481457578,0.024832381425378695,0.009475624919607255,0.0028613623776998338,0.003915634457583227
NFKBIA,0.010226877823561535,0.013161162155450708,0.017793594306049824,0.007876438373023199,0.010311690742878537
SOX7,0.0005460954177629946,0.0011351945794458832,0.0013720361874544442,9.230201218386561e-05,0.00039000343203020186
BHLHE40,0.0013900610633967136,0.001631842207953457,0.003987480169789478,0.00046151006091932806,0.000624005491248323
