Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_Gly_1,-1.615804657436164e-06,1.0432982602251944e-06,0.9392786793268342,ANO
Schwl_3,-5.897008467169738e-07,3.158772847237247e-07,0.9690399112648698,ANO
Neur_CB_GABA_1,-1.1690192043086064e-06,5.61887805833775e-07,0.981261099944538,ANO
Schwl_1,-8.693431276163493e-07,3.858715330266853e-07,0.9878683471980302,ANO
PreOPC_4,-2.0399738915845707e-06,8.621286078659291e-07,0.9910142793769132,ANO
Neur_MB_GABA_TFAP2B,3.397574276499126e-07,8.413500228761705e-08,2.692673881534039e-05,DEP
Neur_MB_GABA_TAL2,3.117422556132549e-07,7.892735953248609e-08,3.911867263041877e-05,DEP
Neur_Purk_prog,2.188965823047241e-07,5.7513096149177124e-08,7.060756629908644e-05,DEP
Neur_MB_GABA_1,2.487619464393298e-07,7.150752701257763e-08,0.0002518116469117,DEP
Neur_MB_GABA_2,2.937780671453806e-07,8.93534898483347e-08,0.0005048343421881,DEP
Neur_MB_Glut_NBL_1,2.459477684896809e-07,7.681572646304774e-08,0.0006828843598541,DEP
Rgl_MB_2,2.688094450748215e-07,9.047938227047896e-08,0.0014844152814924,DEP
Neur_Purk_NBL_1,2.2417853213053054e-07,7.721782625250939e-08,0.00184687327685,DEP
VZ_prog,2.566963737307164e-07,8.991096893217694e-08,0.0021517994406167,DEP
Neur_DRG_2,5.235857282905317e-07,1.9393900902439898e-07,0.0034696396717439,DEP
Neur_MB_GABA_IPC,4.751831970756203e-07,1.8050679447544625e-07,0.0042380160764571,DEP
Neur_DRG_1,3.7822942111198324e-07,1.5568586797333057e-07,0.0075610910664358,DEP
Neur_MB_Glut_NBL_2,2.2250199192193097e-07,9.40731695301426e-08,0.0090101342405633,DEP
Neur_Purk_5,1.719824196003158e-07,7.386584400320624e-08,0.0099478831235071,DEP
Neur_Purk_2,1.6536062068367213e-07,7.15158714572813e-08,0.0103827072519461,DEP
Neur_Tel_Glut_NBL_2,1.930083394915381e-07,8.62888372140318e-08,0.0126506664935219,DEP
